estado, lat, lon, regiao
AC,  -8.77, -70.55, N
AL,  -9.71, -35.73, NE
AM,  -3.07, -61.66, N
AP,   1.41, -51.77, N
BA, -12.96, -38.51, NE
CE,  -3.71, -38.54, NE
DF, -15.83, -47.86, CO
ES, -19.19, -40.34, SE
GO, -16.64, -49.31, CO
MA,  -2.55, -44.30, NE
MT, -12.64, -55.42, CO
MS, -20.51, -54.54, CO
MG, -18.10, -44.38, SE
PA,  -5.53, -52.29, N
PB,  -7.06, -35.55, NE
PR, -24.89, -51.55, S
PE,  -8.28, -35.07, NE
PI,  -8.28, -43.68, NE
RJ, -22.84, -43.15, SE
RN,  -5.22, -36.52, NE
RO, -11.22, -62.80, N
RS, -30.01, -51.22, S
RR,   1.89, -61.22, N
SC, -27.33, -49.44, S
SE, -10.90, -37.07, NE
SP, -23.55, -46.64, SE
TO, -10.25, -48.25, N